mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num,has_scored,sentiment_score
4774612800636155,2022-05-29 23:57,快乐谭小农,https://weibo.com/5160387651?refer_flag=1001030103_,#人民日报评人教版数学教材配图争议#人教版教材的插图，居然低俗到连孩子都说“BT”，拍照撩裙子，还拍人家的屁股。 ​,vivo Y52s高清影像,,,https://wx1.sinaimg.cn/orj360/005DesyTgy1h2ppplweo0j30b90gxwfd.jpg https://wx3.sinaimg.cn/thumb150/005DesyTgy1h2pppmjufgj30u00u0799.jpg,https://weibo.com/5160387651/Lvj1e2Fuz?refer_flag=1001030103_,2,1,11,True,0.969681691068069
4774609888744870,2022-05-29 23:46,超神Di,https://weibo.com/6351099493?refer_flag=1001030103_,#人民日报评人教版数学教材配图争议 #关乎民生，这次为什么没有明星出来发声 ​,iPhone客户端,,,,https://weibo.com/6351099493/LviWwAGWi?refer_flag=1001030103_,1,2,13,True,0.9985848127082354
4774601550469133,2022-05-29 23:13,m苏星m,https://weibo.com/5897642237?refer_flag=1001030103_,#人民日报评人教版数学教材配图争议#热度没了 ​,微博搜索,,,,https://weibo.com/5897642237/LviJ51Y2F?refer_flag=1001030103_,0,0,11,True,0.9606887666073896
4774582542144531,2022-05-29 21:57,铁冰憨憨,https://weibo.com/2682870971?refer_flag=1001030103_,这是在影射吴勇画的插画？#人教版数学教材不仅是美丑问题# #吴勇曾表示书籍设计是一种情怀# #教材局介入调查人教版数学教材# #人民日报评人教版数学教材配图争议#,头铁硬钢的Android,,,https://wx4.sinaimg.cn/thumb150/6232a59agy1h2plt22ujaj20o217nq7a.jpg https://wx1.sinaimg.cn/thumb150/6232a59agy1h2plt2t08cj20u03v34qp.jpg https://wx4.sinaimg.cn/thumb150/6232a59agy1h2plt3k8ztj20u02tdavu.jpg,https://weibo.com/2682870971/Lvieq8ZTd?refer_flag=1001030103_,0,0,0,True,0.9999999999969647
4774578108237937,2022-05-29 21:39,西安商网,https://weibo.com/5324769120?refer_flag=1001030103_,【#人民日报评人教版数学教材配图争议# 教材里有真理，有家国】#人民日报评人教版数学教材插图被吐槽# 近日，人教版数学教材插图引发争议。人民日报微博发表评论，称教材里有真理，有家国，也有灵魂塑造，哪怕配图也要契合大众审美、符合民族气质。一字一句、一图一画都应精益求精。高标准严要求，以敬畏之心编写教材，以精品教材启智增慧、培根铸魂。  #处理问题教材该举一反三深挖根源# 收起d,,,,https://wx4.sinaimg.cn/orj360/005OmbGUly1h2pltza0u9j30nx0eggn0.jpg,https://weibo.com/5324769120/Lvi7gyz3X?refer_flag=1001030103_,0,0,0,True,0.9999999999999989
4774562301217112,2022-05-29 20:37,Lorelai小盆友,https://weibo.com/6863745887?refer_flag=1001030103_,#人民日报评人教版数学教材配图争议#这不是小事啊 是很大的事,iPhone客户端,,,https://wx1.sinaimg.cn/orj360/0033ImPzly1h2m82yigouj60go0b474u02.jpg,https://weibo.com/6863745887/LvhHM56CQ?refer_flag=1001030103_,0,0,0,True,0.9609602568840573
4774561042403886,2022-05-29 20:32,养个智人不容易,https://weibo.com/5657056317?refer_flag=1001030103_,发布了头条文章：《纵容，比丑陋更无耻》 #人教版数学教材插图引争议# #人民日报评人教版数学教材配图争议# #人教版数学教材不仅是美丑问题#  O纵容，比丑陋更无耻 ​,微博 weibo.com,,,,https://weibo.com/5657056317/LvhFKa5mm?refer_flag=1001030103_,0,0,4,True,0.999992238098601
4774541374524852,2022-05-29 19:13,金鱼儿zhang赟蕊,https://weibo.com/5483480134?refer_flag=1001030103_,这两天看了人教版数学教材事件，我越看越生气，越看越不舒服，不是小题大做，而是我觉得一个人、一个民族、一个国家，没有钱不可怕、有挫折不可怕、地位暂时不高也不可怕，如果没有好的引导和对的思想站位那才是可怕的，我震惊那些用思想来摧残孩子们认知的人，那是多么的可恶和不可饶恕，一代人有一代人的长征，一代人走错了路那么下一代呢！好的思想是可以影响一代人的，好的认知同样也是！我们这一代的孩子们好不容易从旧的思想走出来，有了自己的独立和发展，怎么忍心让新一代孩子们的思想和认知受到侵害呢。人教版教材这件事必须给国人一个交代，不要敷衍了事！！！#人民日报评人教版数学教材配图争议# 收起d,iPhone 13 Pro Max,,,,https://weibo.com/5483480134/Lvha1iZ7u?refer_flag=1001030103_,7,0,46,True,1.0
4774533099424438,2022-05-29 18:41,lilyai满天星辰,https://weibo.com/1965694941?refer_flag=1001030103_,我是对人教版有感情的 国家如果不认真处理这件事 我对国家的信仰就塌了#人民日报评人教版数学教材配图争议# ​,nova7你在焦点在,,,,https://weibo.com/1965694941/LvgWFDxJ4?refer_flag=1001030103_,0,0,0,True,0.9999567113216336
4774522547081848,2022-05-29 17:59,清华o-o,https://weibo.com/2689706631?refer_flag=1001030103_,#人民日报评人教版数学教材配图争议#我们的国家还有救吗？ ​,Redmi K30 Pro 变焦版,,,,https://weibo.com/2689706631/LvgFEtIjm?refer_flag=1001030103_,0,0,0,True,0.9889569009674651
